well_id,plate,row,column,flow_says_diploid,flow_haploid_count,flow_diploid_count,flow_ambiguous_count,flow_singlets_count,flow_all_events_count,flow_haploid_percent,flow_diploid_percent,flow_ambiguous_percent
WGS1A1,1,A,1,False,701.0,0.0,945.0,1646.0,5000.0,42.588092345078984,0.0,57.41190765492102
WGS1A2,1,A,2,True,1.0,668.0,2280.0,2949.0,5000.0,0.0339097999321804,22.65174635469651,77.31434384537131
WGS1A3,1,A,3,False,1631.0,15.0,2085.0,3731.0,5000.0,43.71482176360225,0.40203698740284105,55.8831412489949
WGS1A4,1,A,4,False,1142.0,6.0,2593.0,3741.0,5000.0,30.526597166533016,0.16038492381716118,69.31301790964982
WGS1A5,1,A,5,True,1.0,789.0,2162.0,2952.0,5000.0,0.03387533875338753,26.727642276422763,73.23848238482384
WGS1A6,1,A,6,False,1194.0,9.0,2526.0,3729.0,5000.0,32.01930812550282,0.2413515687851971,67.73934030571199
WGS1A7,1,A,7,False,1364.0,6.0,2360.0,3730.0,5000.0,36.56836461126005,0.16085790884718498,63.27077747989276
WGS1A8,1,A,8,False,1323.0,4.0,2277.0,3604.0,5000.0,36.70921198668147,0.11098779134295228,63.17980022197558
WGS1A9,1,A,9,False,1495.0,5.0,1972.0,3472.0,5000.0,43.05875576036866,0.14400921658986177,56.79723502304147
WGS1A10,1,A,10,False,1106.0,10.0,2676.0,3792.0,5000.0,29.166666666666668,0.26371308016877637,70.56962025316456
WGS1A11,1,A,11,True,1.0,712.0,2238.0,2951.0,5000.0,0.033886818027787195,24.12741443578448,75.83869874618773
WGS1B1,1,B,1,False,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0
WGS1B2,1,B,2,False,1623.0,2.0,1779.0,3404.0,5000.0,47.6792009400705,0.05875440658049354,52.26204465334901
WGS1B3,1,B,3,False,1279.0,5.0,2254.0,3538.0,5000.0,36.1503674392312,0.14132278123233466,63.708309779536464
WGS1B4,1,B,4,True,2.0,399.0,1224.0,1625.0,5000.0,0.12307692307692308,24.553846153846155,75.32307692307693
WGS1B5,1,B,5,True,0.0,814.0,2152.0,2966.0,5000.0,0.0,27.44436952124073,72.55563047875927
WGS1B6,1,B,6,True,1.0,709.0,2011.0,2721.0,5000.0,0.03675119441381845,26.05659683939728,73.9066519661889
WGS1B8,1,B,8,False,1290.0,2.0,2266.0,3558.0,5000.0,36.25632377740304,0.056211354693648116,63.68746486790332
WGS1B9,1,B,9,False,1384.0,2.0,2053.0,3439.0,5000.0,40.24425705146845,0.05815644082582146,59.69758650770572
WGS1B11,1,B,11,False,1172.0,6.0,2388.0,3566.0,5000.0,32.86595625350533,0.16825574873808188,66.96578799775659
