plate,row,column,growth inhibited (diploid),borderline,notes,doublechecked
1,A,1,TRUE,TRUE,,
1,A,2,FALSE,FALSE,,
1,A,3,TRUE,TRUE,,
1,A,4,TRUE,FALSE,,
1,A,5,TRUE,TRUE,,
1,A,6,FALSE,TRUE,,
1,A,7,FALSE,TRUE,,
1,A,8,TRUE,FALSE,,
1,A,9,TRUE,TRUE,,
1,A,10,FALSE,TRUE,,
1,A,11,FALSE,TRUE,,
1,A,12,FALSE,TRUE,,
1,B,1,TRUE,TRUE,,
1,B,2,FALSE,FALSE,,
1,B,3,TRUE,TRUE,,
1,B,4,FALSE,FALSE,,
1,B,5,FALSE,FALSE,,
1,B,6,FALSE,FALSE,,
1,B,7,TRUE,FALSE,,
1,B,8,TRUE,FALSE,,
1,B,9,FALSE,FALSE,,
1,B,10,TRUE,FALSE,,
1,B,11,FALSE,FALSE,,
1,B,12,TRUE,FALSE,,
1,C,1,TRUE,FALSE,,
1,C,2,TRUE,FALSE,,
1,C,3,TRUE,FALSE,low control growth,
1,C,4,FALSE,FALSE,,
1,C,5,TRUE,TRUE,,
1,C,6,TRUE,FALSE,,
1,C,7,TRUE,TRUE,,
1,C,8,TRUE,FALSE,,
1,C,9,FALSE,FALSE,,
1,C,10,FALSE,FALSE,,
1,C,11,FALSE,TRUE,low control growth,
1,C,12,TRUE,FALSE,,
1,D,1,TRUE,FALSE,,
1,D,2,TRUE,FALSE,low control growth,
1,D,3,FALSE,TRUE,,
1,D,4,TRUE,FALSE,,
1,D,5,FALSE,FALSE,,
1,D,6,TRUE,FALSE,low control growth,
1,D,7,FALSE,TRUE,,
1,D,8,TRUE,FALSE,low control growth,
1,D,9,TRUE,FALSE,,
1,D,10,FALSE,FALSE,,
1,D,11,FALSE,TRUE,,
1,D,12,TRUE,TRUE,,
1,E,1,TRUE,FALSE,,
1,E,2,TRUE,FALSE,,
1,E,3,TRUE,FALSE,,
1,E,4,TRUE,FALSE,,
1,E,5,TRUE,FALSE,,
1,E,6,FALSE,FALSE,,
1,E,7,FALSE,FALSE,,
1,E,8,FALSE,FALSE,,
1,E,9,FALSE,FALSE,,
1,E,10,TRUE,TRUE,,
1,E,11,FALSE,FALSE,,
1,E,12,FALSE,TRUE,,
1,F,1,TRUE,FALSE,,
1,F,2,FALSE,FALSE,,
1,F,3,FALSE,FALSE,,
1,F,4,FALSE,FALSE,,
1,F,5,FALSE,FALSE,,
1,F,6,FALSE,FALSE,,
1,F,7,FALSE,FALSE,,
1,F,8,FALSE,FALSE,,
1,F,9,TRUE,TRUE,,
1,F,10,FALSE,FALSE,,
1,F,11,FALSE,FALSE,,
1,F,12,FALSE,FALSE,,
1,G,1,FALSE,TRUE,,
1,G,2,TRUE,TRUE,,
1,G,3,FALSE,TRUE,,
1,G,4,FALSE,FALSE,,
1,G,5,FALSE,FALSE,,
1,G,6,TRUE,FALSE,,
1,G,7,TRUE,FALSE,,
1,G,8,FALSE,FALSE,,
1,G,9,TRUE,FALSE,,
1,G,10,TRUE,FALSE,,
1,G,11,FALSE,FALSE,,
1,G,12,FALSE,FALSE,,
1,H,1,TRUE,FALSE,,
1,H,2,TRUE,FALSE,,
1,H,3,TRUE,FALSE,,
1,H,4,TRUE,FALSE,,
1,H,5,TRUE,FALSE,,
1,H,6,TRUE,FALSE,control growth weird,
1,H,7,FALSE,FALSE,,
1,H,8,TRUE,FALSE,,
1,H,9,TRUE,FALSE,,
1,H,10,TRUE,FALSE,,
1,H,11,TRUE,FALSE,,
1,H,12,TRUE,FALSE,,
2,A,1,TRUE,FALSE,,
2,A,2,TRUE,FALSE,,
2,A,3,TRUE,FALSE,,
2,A,4,FALSE,FALSE,,
2,A,5,TRUE,FALSE,,
2,A,6,TRUE,FALSE,,
2,A,7,TRUE,FALSE,,
2,A,8,TRUE,FALSE,,
2,A,9,TRUE,FALSE,,
2,A,10,TRUE,FALSE,,
2,A,11,TRUE,FALSE,,
2,A,12,TRUE,FALSE,,
2,B,1,FALSE,FALSE,,
2,B,2,TRUE,FALSE,,
2,B,3,TRUE,TRUE,,
2,B,4,TRUE,FALSE,,
2,B,5,TRUE,TRUE,,
2,B,6,TRUE,FALSE,,
2,B,7,TRUE,FALSE,,
2,B,8,FALSE,FALSE,,
2,B,9,TRUE,TRUE,,
2,B,10,TRUE,FALSE,,
2,B,11,TRUE,TRUE,,
2,B,12,TRUE,FALSE,,
2,C,1,TRUE,FALSE,,
2,C,2,TRUE,FALSE,,
2,C,3,FALSE,FALSE,,
2,C,4,TRUE,FALSE,,
2,C,5,FALSE,FALSE,,
2,C,6,TRUE,FALSE,,
2,C,7,TRUE,FALSE,,
2,C,8,TRUE,FALSE,,
2,C,9,FALSE,FALSE,,
2,C,10,TRUE,FALSE,,
2,C,11,FALSE,FALSE,,
2,C,12,FALSE,TRUE,,
2,D,1,FALSE,FALSE,is it strage that this entire row (plate 1 row D is completely alternating?,
2,D,2,TRUE,FALSE,,
2,D,3,FALSE,FALSE,,
2,D,4,TRUE,FALSE,,
2,D,5,FALSE,FALSE,,
2,D,6,TRUE,FALSE,,
2,D,7,FALSE,FALSE,,
2,D,8,TRUE,FALSE,,
2,D,9,FALSE,FALSE,,
2,D,10,TRUE,FALSE,,
2,D,11,FALSE,FALSE,,
2,D,12,TRUE,FALSE,,
2,E,1,TRUE,FALSE,,
2,E,2,FALSE,FALSE,,
2,E,3,TRUE,FALSE,,
2,E,4,TRUE,FALSE,,
2,E,5,FALSE,FALSE,,
2,E,6,FALSE,FALSE,,
2,E,7,TRUE,FALSE,,
2,E,8,TRUE,FALSE,,
2,E,9,TRUE,FALSE,,
2,E,10,FALSE,FALSE,,
2,E,11,TRUE,FALSE,,
2,E,12,TRUE,FALSE,,
2,F,1,TRUE,FALSE,,
2,F,2,FALSE,FALSE,,
2,F,3,FALSE,FALSE,,
2,F,4,TRUE,FALSE,,
2,F,5,TRUE,FALSE,,
2,F,6,TRUE,FALSE,,
2,F,7,TRUE,FALSE,,
2,F,8,FALSE,FALSE,,
2,F,9,TRUE,FALSE,,
2,F,10,FALSE,FALSE,,
2,F,11,TRUE,FALSE,,
2,F,12,TRUE,FALSE,,
2,G,1,TRUE,FALSE,,
2,G,2,TRUE,FALSE,,
2,G,3,TRUE,FALSE,,
2,G,4,TRUE,FALSE,,
2,G,5,FALSE,FALSE,,
2,G,6,FALSE,FALSE,,
2,G,7,TRUE,FALSE,,
2,G,8,FALSE,FALSE,,
2,G,9,FALSE,FALSE,,
2,G,10,TRUE,FALSE,,
2,G,11,TRUE,FALSE,,
2,G,12,TRUE,FALSE,,
2,H,1,TRUE,FALSE,,
2,H,2,TRUE,FALSE,,
2,H,3,TRUE,TRUE,,
2,H,4,FALSE,TRUE,,
2,H,5,TRUE,FALSE,,
2,H,6,FALSE,TRUE,,
2,H,7,FALSE,TRUE,,
2,H,8,FALSE,TRUE,,
2,H,9,TRUE,FALSE,,
2,H,10,FALSE,TRUE,,
2,H,11,FALSE,FALSE,,
2,H,12,TRUE,FALSE,,
3,A,1,TRUE,FALSE,,
3,A,2,TRUE,FALSE,,
3,A,3,TRUE,FALSE,,
3,A,4,FALSE,TRUE,,
3,A,5,FALSE,FALSE,,
3,A,6,TRUE,FALSE,,
3,A,7,FALSE,FALSE,,
3,A,8,TRUE,FALSE,,
3,A,9,TRUE,FALSE,,
3,A,10,FALSE,FALSE,,
3,A,11,FALSE,FALSE,,
3,A,12,FALSE,TRUE,,
3,B,1,TRUE,FALSE,,
3,B,2,FALSE,FALSE,,
3,B,3,FALSE,FALSE,,
3,B,4,TRUE,FALSE,,
3,B,5,TRUE,FALSE,,
3,B,6,FALSE,FALSE,,
3,B,7,TRUE,FALSE,,
3,B,8,TRUE,FALSE,,
3,B,9,FALSE,FALSE,,
3,B,10,TRUE,FALSE,,
3,B,11,FALSE,FALSE,,
3,B,12,TRUE,FALSE,,
3,C,1,FALSE,FALSE,,
3,C,2,FALSE,FALSE,,
3,C,3,TRUE,FALSE,,
3,C,4,FALSE,FALSE,,
3,C,5,TRUE,FALSE,,
3,C,6,FALSE,FALSE,,
3,C,7,TRUE,FALSE,,
3,C,8,TRUE,FALSE,,
3,C,9,TRUE,FALSE,,
3,C,10,TRUE,FALSE,,
3,C,11,FALSE,FALSE,,
3,C,12,TRUE,FALSE,,
3,D,1,FALSE,FALSE,,
3,D,2,TRUE,FALSE,,
3,D,3,TRUE,FALSE,,
3,D,4,TRUE,FALSE,,
3,D,5,TRUE,FALSE,,
3,D,6,FALSE,FALSE,,
3,D,7,TRUE,FALSE,,
3,D,8,FALSE,FALSE,,
3,D,9,FALSE,FALSE,,
3,D,10,TRUE,FALSE,,
3,D,11,FALSE,TRUE,,
3,D,12,FALSE,FALSE,,
3,E,1,FALSE,FALSE,,
3,E,2,FALSE,FALSE,,
3,E,3,FALSE,FALSE,,
3,E,4,FALSE,FALSE,,
3,E,5,TRUE,FALSE,,
3,E,6,FALSE,FALSE,,
3,E,7,TRUE,FALSE,,
3,E,8,TRUE,FALSE,,
3,E,9,FALSE,FALSE,,
3,E,10,TRUE,FALSE,,
3,E,11,TRUE,FALSE,,
3,E,12,TRUE,FALSE,,
3,F,1,FALSE,FALSE,,
3,F,2,TRUE,FALSE,,
3,F,3,FALSE,FALSE,,
3,F,4,TRUE,FALSE,,
3,F,5,TRUE,FALSE,,
3,F,6,TRUE,FALSE,,
3,F,7,TRUE,FALSE,,
3,F,8,FALSE,FALSE,,
3,F,9,FALSE,FALSE,,
3,F,10,FALSE,FALSE,,
3,F,11,TRUE,FALSE,,
3,F,12,FALSE,FALSE,,
3,G,1,TRUE,FALSE,,
3,G,2,FALSE,FALSE,,
3,G,3,FALSE,FALSE,,
3,G,4,FALSE,FALSE,,
3,G,5,FALSE,FALSE,,
3,G,6,FALSE,FALSE,,
3,G,7,FALSE,FALSE,,
3,G,8,FALSE,FALSE,,
3,G,9,FALSE,FALSE,,
3,G,10,FALSE,FALSE,,
3,G,11,FALSE,FALSE,,
3,G,12,FALSE,FALSE,,
3,H,1,FALSE,FALSE,,
3,H,2,FALSE,FALSE,,
3,H,3,TRUE,FALSE,,
3,H,4,FALSE,FALSE,,
3,H,5,FALSE,FALSE,,
3,H,6,FALSE,FALSE,,
3,H,7,FALSE,FALSE,,
3,H,8,FALSE,FALSE,,
3,H,9,TRUE,FALSE,,
3,H,10,TRUE,FALSE,,
3,H,11,TRUE,FALSE,,
3,H,12,TRUE,FALSE,,
4,A,1,TRUE,FALSE,,
4,A,2,TRUE,FALSE,,
4,A,3,TRUE,FALSE,,
4,A,4,TRUE,FALSE,,
4,A,5,TRUE,FALSE,,
4,A,6,TRUE,FALSE,,
4,A,7,TRUE,FALSE,,
4,A,8,TRUE,FALSE,,
4,A,9,TRUE,FALSE,,
4,A,10,TRUE,FALSE,,
4,A,11,FALSE,TRUE,,
4,A,12,FALSE,TRUE,,
4,B,1,TRUE,FALSE,,
4,B,2,TRUE,FALSE,,
4,B,3,TRUE,FALSE,,
4,B,4,FALSE,FALSE,,
4,B,5,TRUE,FALSE,,
4,B,6,TRUE,FALSE,,
